
     w [eV]       Osc.Str.         Transition         Weight      KS [eV]    Sym.

 ================================================================================

      3.395        1.48761085        49   ->    50        1.000       2.864      S
      3.837        0.00000015        48   ->    50        0.732       3.816      S
      4.675        0.00059685        49   ->    51        0.733       3.837      S
      4.875        0.05366545        47   ->    50        0.943       4.847      S
      4.905        0.19709801        48   ->    51        0.816       4.789      S
      5.206        0.00000056        46   ->    50        0.998       5.096      S
      5.229        0.01537105        45   ->    50        1.000       5.123      S
      5.389        0.00007371        44   ->    50        0.998       5.195      S
      5.491        0.02525593        43   ->    50        0.999       5.276      S
      5.775        0.16757419        49   ->    52        0.687       4.905      S
      5.824        0.00000456        42   ->    50        0.946       5.739      S
      5.846        0.00000181        47   ->    51        0.718       5.820      S
      5.962        0.00008187        49   ->    53        0.850       5.914      S
      6.230        0.00336394        46   ->    51        0.999       6.069      S
      6.280        0.00002509        45   ->    51        0.998       6.096      S
      6.298        0.05246536        44   ->    51        0.989       6.168      S
